,claim,label,justification,claim_date,speaker,reporting_source,location_ISO_code
341,"A cobbler in West Bengal, Sanjoy Rabidas, scored 93% in West Bengal board exams. He is also an RSS member.",Refuted,"Not an RSS member, scored 66% not 93%.",2020-07-12,,,
342,Answering a call from '+140' will empty your bank account.,Refuted,"Q1 establishes what the claim is about and Q2 directly addresses the claim.
The answer to Q2 doesn't really address the question asked unless one assumes Sony LIV can be trusted. There is a better source in support of Q2 (link available in source given)
Still, it is clear that this claim is refuted.",2020-07-11,I Love Bhatkal,Facebook,IN
343,Prof Stephen Adei praises Prof Naana Opoku-Agyeman as a great leader,Refuted,Prof Stephen Adei did not interview and praise Prof Naana Opoku-Agyema.,2020-07-11,myafricatoday,twitter,GH
344,In 1920 #Mahashivratri was celebrated at Karachi. It just took 100 years to completely eradicate the festival. This decades-old Mahashivratri celebration held annually in Karachi was cancelled in 2020.,Not Enough Evidence,Unknown if the festival was actually cancelled in 2020.,2020-07-10,Dheeshma Puzhakkal  ,Twitter,IN
345,A graphic from the World Health Organization (WHO) lists the “7 biggest brain damaging habits,Refuted,"This claim is refuted. According to the QA pairs, there is no evidence whatsoever to support the claim. The claim has been checked on the WHO's official website and social media (twitter) and no alleged ""graphic"" has been found. Therefore, this claim is refuted.",2020-07-10,,Facebook,US
346,PR stunt by TV channel leads to police warning on phone no. starting with 140,Supported,Supported claim,2020-07-10,Pranav Sane,Twitter,IN
347,You no longer have to quarantine if you have returned to England from an exempt country before July 10.,Refuted,Until the 10th July you still had to obey self isolation rules.,2020-07-10,Twitter,The Foreign and Commonwealth Office (FCO),GB
348,"Proud to be AMU alumnus, 35-year-old scientist Kushbu Mirza, has been promoted as Director in ISRO. She is an alumnus of Aligarh Muslim University and only the 2nd Muslim Scientist after Dr.A.P.J. Abdul Kalam to hold this rank at ISRO",Refuted,She was not promoted to Director in ISRO rather director of scientists Rank F,2020-07-10,,Twitter,IN
349,The CDC may have to stop calling COVID-19 an ‘epidemic’ due to a remarkably low death rate.,Refuted,Q&A's state that death rate has no bearing on weather a virus outbreak is called 'epidemic',2020-07-09,Collective Evolution,Facebook,US
350,A letter from a consultant at a hospital in Surrey claims that hospitals are empty and that there is no pandemic.,Refuted,The answer and sources show that there were deaths in Surrey from covid so the claim is refuted.,2020-07-09,Helen Wilson,Facebook,GB
351,"The World Health Organization (WHO) is advertising home-based jobs to ""fight coronavirus"" and says no experience is necessary.",Refuted,"The WHO named in the claim stated in a social media post that no such jobs exist, and they have not made any such job postings.",2020-07-09,‎Em My‎ ,Facebook,ZA
352,"Peter Navarro said a Covid-19 study “showed an astonishing 50% reduction in the mortality rate for patients taking hydroxychloroquine,”",Conflicting Evidence/Cherrypicking,It appears from the Q&As that there is conflicting evidence with regards to the use of Hydroxychloroquine. As some reports have found it works whilst some haven't.,2020-07-09,Peter Navarro,CNN,US
353,Scottish Government got £21m from Summer economic update.,Conflicting Evidence/Cherrypicking,Seems though the Scottish Government would get more than £21 million - Hence somewhat true.,2020-07-08,Chancellor Rishi Sunak,https://www.gov.uk/government/publications/,GB
354,Deaths from COVID-19 are nearing zero in the U.S. in early July 2020.,Refuted,The answer and sources show that there were still deaths from covid at that time and so the claim is refuted.,2020-07-08,C Michael Pickens,Facebook,US
355,People are developing fungal lung infections due to wearing face masks.,Refuted,Refuted by doctor in the 2nd QA pair.,2020-07-08,No Jab No Pay No Way - Freedom of Choice,Facebook,AU
356,"The founder of Ghana's Progressive People’s Party (PPP), Dr Paa Kwasi Nduom tweeted that Prof. Jane Opoku Agyeman was far better than Ghana's current Vice-President Mahamudu Bawumia.",Refuted,"Q&A establish the facts but in an odd way.
The source refutes the claim.",2020-07-07,myafricatoday,twitter,GH
357,Herbal drink made of snake grass can cure cancer by killing cancer cells in 24 hours.,Refuted,This claim is not backed up with any evidence or studies ,2020-07-07,Shieryl's Home Garden,Facebook,PH
358,The US Centers for Disease Control and Prevention has said that bubonic plague can be spread through cough droplets.,Conflicting Evidence/Cherrypicking,"Answers show that cough droplets can't spread the bubonic plague, but it can spread pneumonic plague, which is another form of the disease which can develop from untreated bubonic plague. ",2020-07-07,Cebu Channel Online,Facebook,PH
359,International students contributed over $40 billion to the U.S. economy in 2018-19.,Supported,The Q&A pair give a simple answer that shows the main figure in the claim is true.,2020-07-07,Chris Hayes,MSNBC,US
360,Over 1 million international students studied at American universities in the 2018-19 school year.,Supported,"1,095,299 international students studied.",2020-07-07,Chris Hayes,MSNBC,US
361,Bubonic plague is “airborne” and “can be spread when an infected person coughs.”,Conflicting Evidence/Cherrypicking,"Not airborne, but droplets spread by coughing can be a vector for infection.",2020-07-07,BOHOL FLASH Report,Facebook,US
362,"Drivers in Canada face penalties of three demerit points and a $1,500 fine if a passenger in their car is using a mobile phone",Not Enough Evidence,"There is insufficient evidence to determine whether a passenger in a car could face a penalty for using a mobile phone in Canada. However, fines for distracted driving vary by region in Canada, and there is no $1,500 fine.",2020-07-07,,,
363,"Ghana’s Health Minister, Kwaku Agyeman-Manu claims that President Akufo-Addo is tired of the coronavirus fight due to citizens reluctance to adhere to the preventive protocols.",Refuted,"His speech was translated wrong - Ghana’s Health Minister, Kwaku Agyeman-Manu then clarified what he meant.",2020-07-06,Kwaku Agyeman-Manu," Starrfm.com.gh, GhanaWeb and Ghana Business News, ",GH
364,"President Donald Trump claimed that Nascar's decision to ban confederate flags at NASCAR events, has caused the lowest ratings ever.",Refuted,"From the 2nd question-answer pair it seems that the cancellation had no effect on the viewing of the event. Therefore, the claim is refuted",2020-07-06,Donald Trump,Twitter,US
365,"NOT ONE POLITICIAN DIED, LOST THEIR JOB OR WORN MASKS DURING THE COVID-19 PANDEMIC",Refuted,"The Q&a pairs list politicians who died, wore masks and lost jobs due to Covid 19.",2020-07-06,Amalia Florez,Facebook,US
366,An image in New Zealand shows that a rural New Zealand town is set to remove a trout statue,Refuted,Based on no statement/information  presented on the official website.,2020-07-06,Taylor Thompson Fuller,,NZ
367,The COVID-19 pandemic has seen conspiracy theories emerge with claims 5G vendors have used the lockdown in Australia – and elsewhere – to roll out 5G networks without public knowledge. Accompanying those are claims that the expanded network may cause negative health effects in people.,Refuted,"From the 3rd QA it is evident that 5G has not been found to have an impact on health, therefore the claim is refuted",2020-07-06,AAP FactCheck,,US
368,PCR (polymerase chain reaction) tests for coronavirus pierce the blood-brain barrier.,Not Enough Evidence,No evidence has been provided to refute the claims state of PCR tests pierce the blood-brain barrier.,2020-07-06,Samuel G Cohen,Facebook,US
369,"The Israeli Air Force has bombarded nuclear installations in Iran, practically putting an end to its nuclear ambitions.",Not Enough Evidence,"The claim wording uses 'Bombarded' whilst the Q&A pairs state that a bomp may have been planted, or cyber attack caused a fire, no Q&A pair state a bombardment..
Also, no evidence has been found as reported by the pairs to support any of the claims intent.",2020-07-05,Kumar Sanjeet Kumar,Facebook,IR
370,Muslims failing to understand government messaging were responsible for Leicester’s local outbreak.,Refuted,"From the question and answer pairs it seems that, that there is not enough evidence that Muslims were responsible for the outbreak, Therefore, the claim is refuted",2020-07-05,Suzi Bashford,Facebook,GB
371,"Ghislaine Maxwell, the recently arrested associate of Jeffrey Epstein, has tested positive for COVID-19 in jail.",Refuted,The claim is from a satirical website ,2020-07-05,Stolen Memes 2: Electric Boogaloo,Facebook,US
372,"local government in the Australian state of Victoria has begun handing out an AUD1,500 (USD1,044) payment to “anyone who tested positive for COVID-19”.",Conflicting Evidence/Cherrypicking,"$1500 payment is for workers in Victoria who have been directed to self-isolate or quarantine, or to care for such a person - so individual does not have to have tested positive for COVID-19 to qualify for the payment.",2020-07-05,Chef Pete Evans,Facebook,AU
373,American rapper Kanye West is running for President of the United States in the 2020 elections.,Supported,"yes, he announced he was running for president",2020-07-05,Kanye West,Twitter,US
